platform,show_id,title,content_type,release_year,rating,duration_value,duration_unit,primary_genre,genres,country,date_added,director,description
Amazon Prime,s6489,Jane and the Dragon,TV Show,2006,TV-Y7,2.0,season,Animation,"Animation, Kids, Science Fiction",,"July 16, 2021",,"The daughter of King Caradoc's chamberlain dreams of being a knight. When Prince Cuthbert is kidnapped by the local dragon, Jane may just have her chance."
Amazon Prime,s6490,Half Serious,Movie,2013,13+,122.0,min,Comedy,Comedy,,,Utsav Mukherjee,"Aniruddha, a struggling filmmaker, wishes to write a script that focuses on gender inequality. Ironically, he ends up neglecting his wife and forgets to implement equality in his own home."
Amazon Prime,s6491,Ganesapuram,Movie,2021,13+,144.0,min,Romance,Romance,,,Veerangan K,"During one panchayat, Chinna beats the Village president Kayal Perera.Following this Perera's son Rajasimman plans to take revenge on Chinna and his friends. Menawhile, Chinna falls in love with Risha."
Amazon Prime,s6492,Flat No. 609,Movie,2018,13+,103.0,min,Horror,Horror,,,ARINDAM BHATTACHARYA,A couple moves into a beautiful duplex and starts experiencing paranormal activities.
Amazon Prime,s6493,Deiva Thirumagal,Movie,2011,ALL,160.0,min,Comedy,"Comedy, Drama",,,A. L. Vijay,"A man with disabilities fights for custody of his 6-year-old daughter, and in the process teaches his opponent lawyer the value of love and family."
Amazon Prime,s6494,David,Movie,2013,13+,122.0,min,Action,Action,,,Bejoy Nambiar,"The plot revolves around the lives of two different men named David, who are about to take a step which is going to change their lives forever."
Amazon Prime,s6495,Cheo,Movie,2019,13+,106.0,min,Drama,"Drama, Special Interest",,,Eric W. Santos,Cheo graduated with dreams of hitting it big as a DJ but creative differences with his best friend Eli hinder them from setting the world on fire.
Amazon Prime,s6496,Chandramukhi,Movie,2005,ALL,160.0,min,Comedy,"Comedy, Drama, Horror",,,P. Vasu,"Rajnikant a top psychiatrist from America is on an SOS mission to help rescue his best friend Prabhu's wife Jyothika, who suffers from a split personality syndrome. Rajnikant couples his treatment with exorcism to cure Jyothika."
Amazon Prime,s6497,Champion Joe,Movie,1980,16+,153.0,min,Action,"Action, Drama, Sports",,,Osamu Dezaki,A troubled youth goes on the journey to become a champion boxer with the help of a former boxing coach turned alcoholic. (The movie is an abridged remake of the 1970 TV series).
Amazon Prime,s6498,Champion,Movie,2019,13+,103.0,min,Drama,"Drama, Sports",,,Suseenthiran,"Jones, a polite and talented footballer, is judged by his counterparts because of his financial status. When he learns about his past, he is torn between his dreams and his hunger to seek revenge."
Amazon Prime,s6499,Carmen,Movie,2003,18+,115.0,min,Drama,"Drama, Romance","Spain, United Kingdom, Italy",,Vicente Aranda,"The free and enigmatic nature of Carmen, a woman of great beauty and passionate character, makes José, a military man, become the victim and protagonist of turbulent love affairs and uncontrollable passions, immersed in a chain of fatalism, jealousy and blood."
Amazon Prime,s6500,Before Future Boy,TV Show,2020,16+,1.0,season,Comedy,Comedy,,,,"A comedy veteran, Scott, teams up with a Chinese student Henry, to produce a sit-com, ""Future Boy."" The odd pair quickly learn that dealing with their own communication and cultural differences is a far more horrific task than producing the show. When the bickering partners are forced to set up shop at a Jewish basic cable channel, the production is pushed beyond the cultural tipping point."
Amazon Prime,s6501,Wrong Fires For Right Hopes,Movie,2020,18+,18.0,min,Drama,"Drama, Romance",,,Luca Luongo,"The young Tony runs away from police. He'll find a place in Gaia and Sandro's house, where Tony and Gaia will fall in love: this will change everything."
Amazon Prime,s6502,Woodfalls,Movie,2016,13+,74.0,min,Drama,"Drama, Horror, Suspense",,,David Campion,"When a family of travelers move to a rural town, conflict ensues amongst the locals. Stigmatized as 'gypsies', they are not welcomed into the community."
Amazon Prime,s6503,White Zombie,Movie,1932,13+,66.0,min,Horror,Horror,,,Victor Halperin,"A young man, Charles Beaumont (Robert Frazer) turns to a witch doctor 'Murder' Legendre (Bela Lugosi) to lure the woman he loves, Madeline Short (Madge Bellamy) away from her fiancé John Harron (Neil Parker), but instead turns her into a zombie slave."
Amazon Prime,s6504,White Elephant,Movie,2021,13+,80.0,min,Comedy,Comedy,,,Corey Moss,"Four couples hold on to their college friendships by reuniting every December for a white elephant gift exchange. When nothing goes as planned, their relationships and friendships are put to the test, and they must use the game to fix what's broken."
Amazon Prime,s6505,When We Are Right,Movie,2019,13+,35.0,min,Drama,Drama,,,Sharon Mor,"Shelly, a young paramedic, carries a lot of sadness and pain in her heart, however it doesn't stop her from being a hard worker and saving the lives of people on a daily basis. Until one day she saves the life of her soulmate, the question remains, will they recognize each other?"
Amazon Prime,s6506,Tyger Tyger,Movie,2021,18+,92.0,min,Romance,"Romance, Science Fiction, Western",,,Kerry Mondragon,"During a pandemic, a selfless woman kidnaps a junkie after robbing a pharmacy and hits the road to distribute ""life saving"" medication, but find themselves trapped in the fringe lands of a law-less psychedelic city."
Amazon Prime,s6507,Transmigrate (The Troubled One),Movie,2015,13+,99.0,min,Horror,"Horror, Suspense",,,Andy Andico,"Lucy, a young woman comes back to her hometown to celebrate her newly appointed doctor of Psychiatry. Friends and old love finds her back, however there have been quite a few strange behavioral differences in Lucy."
Amazon Prime,s6508,Three Stooges: Family Album,Movie,1998,NR,28.0,min,Comedy,"Comedy, Documentary",,,"C3 Entertainment,  Inc.","The Three Stooges Family Album goes behind the cameras to look at the lives of America's favorite comedy trio. The video chronicles the history of the Stooges, from their beginnings and on to Hollywood stardom. Includes film clips, home movies, vacation pictures and never-seen-before footage that show how hilarious The Three Stooges can be on and off the screen."
Amazon Prime,s6509,Thom & Dusty Go To Mexico,Movie,2015,13+,83.0,min,Comedy,Comedy,,,Thom Marshall,"An Action packed comedy of two regular guys who find a map, go to Mexico looking for the lost treasure, Troubles put them on a completely different path and to their surprise, they find out that their quest was something completely different!"
Amazon Prime,s6510,Things To Come,Movie,1936,16+,96.0,min,Drama,Drama,,,William Cameron Menzies,"The story of a century: a decades-long second World War leaves plague and anarchy, then a rational state rebuilds civilization and attempts space travel."
Amazon Prime,s6511,The Sun Is in You,TV Show,2018,13+,1.0,season,Drama,"Drama, Romance",,,,"The leading characters are three former orphans, each of them is about 30 years old: Daryn, Yerzhan and Sabit. The guys went through a lot together - from children's oaths on ""together forever"" to the first love with the same girl Aisha. The guys became older, and each of them chose their own way."
Amazon Prime,s6512,The Stonecutter,Movie,2007,ALL,80.0,min,Drama,Drama,,,Daniel Zirilli,A poor stonecutter (Teiki Pambrum) with material desires meets a mysterious young girl (Hereiti Biron) who helps him realize that love and family are more important than anything he could ever own in this moving fairy tale set in Tahiti.
Amazon Prime,s6513,The Red House,Movie,1947,13+,100.0,min,Drama,"Drama, Suspense",,,Delmer Daves,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods on their sprawling property."
Amazon Prime,s6514,The Poisoning,Movie,2014,13+,85.0,min,Horror,Horror,,,Zachary Eglinton,Three men travel across the country and encounter a hitchhiker that turns their world upside down. A maddening hell ride and a race for surivival ensue!
Amazon Prime,s6515,The Most Dangerous Game,Movie,1932,13+,62.0,min,Action,Action,,,"Ernest B. Schoedsack, Irving Pichel","A psychotic big game hunter, Zaroff (Leslie Banks) deliberately strands the survivor, Robert Rainsford (Joel McCrae), of a luxury yacht on a remote island. It is here Zaroff begins to hunt Rainsford and a companion, Eve Trowbridge (Fay Wray), for sport."
Amazon Prime,s6516,The Last Movie,Movie,2012,13+,103.0,min,Arthouse,"Arthouse, Drama, Suspense",,,Bruce Pittman,"Producer has acquired the remake rights to a Russian ""noir"" movie. He has also acquired the services of writer-director to translate the Russian version into an updated thriller. Ultimately an actress is cast in the part. A madness ensues that turns the making of the remake into a suspense thriller in and of itself."
Amazon Prime,s6517,The Isle,Movie,2019,18+,96.0,min,Horror,"Horror, Suspense",,,Matthew Butler-Hart,"When three shipwrecked sailors land on an island abandoned except for four sole residents, one sailor starts to question what happened on the island. He must uncover the truth while he battles to save his own life and escape the isle's clutches."
Amazon Prime,s6518,The Father,TV Show,2015,13+,1.0,season,Drama,Drama,,,,"The story tells about the relationship between children and a single father. The TV series popularizes family and spiritual values. The lead character of the series is recognized as an actor of the year at the international festival «Seoul International Drama Awards». Also in 2017 in the National Television Award «Tumar», the picture is recognized as «The Best TV Series»."
Amazon Prime,s6519,The Dread,Movie,2018,13+,67.0,min,Documentary,"Documentary, Special Interest",,,"Pablo Aparo, Martín Benchimol","In a remote town of Argentina, home remedies replace traditional medicine. All diseases are treated by the villagers except a mortal fear known as espanto, the dread. This rare illness can only be cured by an old man who very few dares to visit. The Dread is an investigative human interest documentary stuffed with strong humor and outstanding protagonists."
Amazon Prime,s6520,The Devil to Pay,Movie,2020,16+,87.0,min,Suspense,Suspense,,,"Ruckus Sky, Lane Skye","When her husband disappears, a struggling farmer finds she is a pawn in a blood-soaked revenge plot that may force her to destroy a decades-old truce."
